Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Ayad Lamdassem,Spain,Europe,30,170,52,M,Athletics,"Men's 10,000m",,,,
Thomas Ayeko,Uganda,Africa,20,168,58,M,Athletics,"Men's 10,000m",,,,
Mykola Labovskyy,Ukraine,Europe,29,175,70,M,Athletics,"Men's 10,000m",,,,
Dathan Ritzenhein,United States of America,Americas,29,173,55,M,Athletics,"Men's 10,000m",,,,
Matthew Tegenkamp,United States of America,Americas,30,188,68,M,Athletics,"Men's 10,000m",,,,
Massoud Azizi,Afghanistan,Asia,23,175,63,M,Athletics,Men's 100m,,,,
Elama Fa'atonu,American Samoa,Oceania,18,175,82,M,Athletics,Men's 100m,,,,
Derrick Atkins,Bahamas,Americas,28,185,88,M,Athletics,Men's 100m,,,,
Warren Fraser,Bahamas,Americas,21,172,73,M,Athletics,Men's 100m,,,,
Mohan Khan,Bangladesh,Asia,20,170,56,M,Athletics,Men's 100m,,,,
Ramon Gittens,Barbados,Americas,25,180,77,M,Athletics,Men's 100m,,,,
Artur Bruno Rojas,Bolivia,Americas,19,,,M,Athletics,Men's 100m,,,,
Gerard Kobeane,Burkina Faso,Africa,24,179,74,M,Athletics,Men's 100m,,,,
Idrissa Adam,Cameroon,Africa,27,178,79,M,Athletics,Men's 100m,,,,
Kemar Hyman,Cayman Islands,Americas,22,178,74,M,Athletics,Men's 100m,,,,
Berenger Aymard Bosse,Central African Republic,Africa,27,,,M,Athletics,Men's 100m,,,,
Abdouraim Haroun,Chad,Africa,20,174,72,M,Athletics,Men's 100m,,,,
Isidro Montoya,Colombia,Americas,21,176,68,M,Athletics,Men's 100m,,,,
Devilert Arsene Kimbembe,Congo,Africa,27,171,,M,Athletics,Men's 100m,,,,
Patrick Tuara,Cook Islands,Oceania,19,168,79,M,Athletics,Men's 100m,,,,
John Howard,Federated States of Micronesia,Oceania,31,173,78,M,Athletics,Men's 100m,,,,
Wilfried Bingangoye,Gabon,Africa,27,,,M,Athletics,Men's 100m,,,,
Suwaibou Sanneh,Gambia,Africa,21,165,80,M,Athletics,Men's 100m,,,,
Paul Williams,Grenada,Americas,26,,,M,Athletics,Men's 100m,,,,
Holder da Silva,Guinea-Bissau,Africa,24,181,75,M,Athletics,Men's 100m,,,,
Jeremy Bascom,Guyana,Americas,28,170,73,M,Athletics,Men's 100m,,,,
Fernando Lumain,Indonesia,Asia,22,183,76,M,Athletics,Men's 100m,,,,
Nooa Takooa,Kiribati,Oceania,19,160,67,M,Athletics,Men's 100m,,,,
Kilakone Siphonexay,Lao People's Democratic Republic,Asia,23,168,63,M,Athletics,Men's 100m,,,,
Rytis Sakalauskas,Lithuania,Europe,25,185,83,M,Athletics,Men's 100m,,,,
Azneem Ahmed,Maldives,Asia,23,169,65,M,Athletics,Men's 100m,,,,
Rachid Chouhal,Malta,Europe,37,178,80,M,Athletics,Men's 100m,,,,
Timi Garstang,Marshall Islands,Oceania,25,175,73,M,Athletics,Men's 100m,,,,
Fabrice Coiffic,Mauritius,Africa,27,168,73,M,Athletics,Men's 100m,,,,
